Scientific name,Common name,Order,Accessibility,Accessbility rationale,YEAR,Sample size,%FO,Prior data,FO in PICES,Residency,Distribution in PICES region,Distribution globally,Already an indicator?,Threat of human exposure,Total bioindicator score,AU,SOURCE,ENDN ,Region,country,area,start,nryr,Isamp,Min,GITdet,DIG ,Notes_Min,Naff,CalcM,navg,gavg,pnavg,pgavg,FINC
Cerorhinca monocerata,Rhinoceros auklet,Charadriiformes,Yes,,2013,32,0,3,1,4,1,2,2,2,15,Avery-Gomm et al.,Marine Pollution Bulletin,2,North Pacific,Canada,Vancouver,2001,11,d,1,s,0,sieve_size,0,p,0,0,0,0,n
Cerorhinca monocerata,Rhinoceros auklet,Charadriiformes,Yes,,1976,26,,3,1,4,1,2,2,2,15,Baltz and Morejohn,Western Birds,737,North Pacific,USA,California,1974,2,d,,u,u,no_details,,u,,,0.115384615,,n
Cerorhinca monocerata,Rhinoceros auklet,Charadriiformes,Yes,,1997,6,0,3,1,4,1,2,2,2,15,Blight and Burger,Marine Pollution Bulletin,309,North Pacific,,Eastern Pacific,1987,1,d,,s,0,no_details,0,p,0,0,0,0,n
Cerorhinca monocerata,Rhinoceros auklet,Charadriiformes,Yes,,1980,20,0,3,1,4,1,2,2,2,15,Day  ,Thesis Report,726,North Pacific,USA,Alaska,1969,9,d,,s,,vis_insp,0,p,0,0,0,0,n
Cerorhinca monocerata,Rhinoceros auklet,Charadriiformes,Yes,,1995,1,0,3,1,4,1,2,2,2,15,Robards et al. ,Marine Pollution Bulletin,727,North Pacific,USA,Alaska,1988,3,d,,s,,no_details,0,u,,,0,,n
Sula sula,Red-footed booby,Suliformes ,Yes,,2017,19,5.3,4,3,2,1,2,2,1,15,Rapp et al.,Marine Pollution Bulletin,1584,North Pacific,USA,Hawaii,2006,8,d,0.5,s,,sieve_size,1.007,u,,,,,n
Sula sula,Red-footed booby,Suliformes ,Yes,,1990b,169,1.775147929,4,3,2,1,2,2,1,15,Sileo et al.,Conference Proceedings,623,North Pacific,USA,Hawaii,1986,2,sf,,o,,no_details,3,u,,,,,n
Sula sula,Red-footed booby,Suliformes ,Yes,,2019,5,60,4,3,2,1,2,2,1,15,Zhu et al.,Marine Pollution Bulletin,2224,North Pacific,China,Yongxing Island,2017,1,d,0.02,c,KOH 10%,filter_size,3,u,,,1.8,,n
Clangula hyemalis,Long-tailed duck,Anseriformes,Yes,,1985,11,0,2,1,4,1,2,2,2,14,Day et al.,Conference Proceedings,627,North Pacific,USA,Alaska,1977,2,u,,s,,no_details,0,u,,,0,0,u
Anous stolidus,Brown Noddy,Charadriiformes,Yes,,2017,18,5.6,4,2,2,1,2,2,1,14,Rapp et al.,Marine Pollution Bulletin,1584,North Pacific,USA,Hawaii,2006,8,d,0.5,s,,sieve_size,1.008,u,,,,,n
Anous stolidus,Brown Noddy,Charadriiformes,Yes,,1990b,153,0.653594771,4,2,2,1,2,2,1,14,Sileo et al.,Conference Proceedings,623,North Pacific,USA,Hawaii,1986,2,sf,,o,,no_details,1,u,,,,,n
Larus heermanni,Heermann's gull,Charadriiformes,Yes,,1976,15,,2,1,4,1,3,2,1,14,Baltz and Morejohn,Western Birds,737,North Pacific,USA,California,1974,2,d,,u,u,no_details,,u,,,0.133333333,,n
Onychoprion fuscatus,Sooty tern,Charadriiformes,Yes,,2017,14,0,4,2,2,1,2,2,1,14,Rapp et al.,Marine Pollution Bulletin,1584,North Pacific,USA,Hawaii,2006,8,d,0.5,s,,sieve_size,0,p,0,0,0,0,n
Onychoprion fuscatus,Sooty tern,Charadriiformes,Yes,,1990b,97,6.18556701,4,2,2,1,2,2,1,14,Sileo et al.,Conference Proceedings,623,North Pacific,USA,Hawaii,1986,2,sf,,o,,no_details,6,u,,,,,n
Pelecanus occidentalis,Brown pelican,Pelecaniformes,Yes,,2009,14,43,2,3,4,1,1,2,1,14,Dau et al.,Journal of Wildlife Disease,1097,North Pacific,USA,California,2001,6,d,,s,,no_details,6.02,u,,,,,n
Phaethon rubricauda,Red-tailed tropicbird,Phaethontiformes,Yes,,2017,5,20,4,2,2,1,2,2,1,14,Rapp et al.,Marine Pollution Bulletin,1584,North Pacific,USA,Hawaii,2006,8,d,0.5,s,,sieve_size,1,u,,,,,n
Phaethon rubricauda,Red-tailed tropicbird,Phaethontiformes,Yes,,1990b,166,11.44578313,4,2,2,1,2,2,1,14,Sileo et al.,Conference Proceedings,623,North Pacific,USA,Hawaii,1986,2,sf,,o,,no_details,19,u,,,,,n
Bulweria bulwerii,Bulwer's petrel,Procellariiformes,Yes,,1983,,,2,2,4,1,2,2,1,14,Harrison,Wildlife Monograph,739,North Pacific,USA,Hawaii,,,,,,,,,,,,,,
Bulweria bulwerii,Bulwer's petrel,Procellariiformes,Yes,,2017,2,0,2,2,4,1,2,2,1,14,Rapp et al.,Marine Pollution Bulletin,1584,North Pacific,USA,Hawaii,2006,8,d,0.5,s,,sieve_size,0,p,0,0,0,0,n
Bulweria bulwerii,Bulwer's petrel,Procellariiformes,Yes,,1990b,38,5.263157895,2,2,4,1,2,2,1,14,Sileo et al.,Conference Proceedings,623,North Pacific,USA,Hawaii,1986,2,d,,s,,no_details,2,u,,,,,n
Puffinus nativitatis,Christmas shearwater,Procellariiformes,Yes,,1990b,39,17.94871795,2,3,2,1,3,2,1,14,Sileo et al.,Conference Proceedings,623,North Pacific,USA,Hawaii,1986,2,sf,,o,,no_details,7,u,,,,,n
Puffinus newelli,Newell's shearwater,Procellariiformes,Yes,,2016,30,50,3,3,2,1,2,2,1,14,Kain et al.,Environmental Science and Pollution Research,1556,North Pacific,USA,Hawaii,2007,8,d,,c,,no_details,15,p,1.2,0.01,1.2,0.01,n
Puffinus newelli,Newell's shearwater,Procellariiformes,Yes,,1990b,18,11,3,3,2,1,2,2,1,14,Sileo et al.,Conference Proceedings,623,North Pacific,USA,Hawaii,1986,2,sf,,o,,no_details,1.98,u,,,,,n
Fregata minor,Great frigatebird,Suliformes ,Yes,,2017,39,38.5,3,3,2,1,2,2,1,14,Rapp et al.,Marine Pollution Bulletin,1584,North Pacific,USA,Hawaii,2006,8,d,0.5,s,,sieve_size,15.015,u,,,,,n
Fregata minor,Great frigatebird,Suliformes ,Yes,,1990b,45,18,3,3,2,1,2,2,1,14,Sileo et al.,Conference Proceedings,623,North Pacific,USA,Hawaii,1986,2,sf,,o,,no_details,8.1,u,,,,,n
Urile pelagicus,Pelagic cormorant,Suliformes ,Yes,,2013,1,0,2,2,4,1,2,2,1,14,Avery-Gomm et al.,Marine Pollution Bulletin,2,North Pacific,Canada,Vancouver,2001,11,d,1,s,0,sieve_size,0,p,0,0,0,0,n
Urile pelagicus,Pelagic cormorant,Suliformes ,Yes,,1980,3,0,2,2,4,1,2,2,1,14,Day  ,Thesis Report,726,North Pacific,USA,Alaska,1969,9,d,,s,,vis_insp,0,p,0,0,0,0,n
Urile pelagicus,Pelagic cormorant,Suliformes ,Yes,,2020,10,30,2,2,4,1,2,2,1,14,Padula et al.,Marine Pollution Bulletin,2320,North Pacific,USA,Aleutian Islands,2009,7,d,,s,0,vis_insp,3,u,,,,,u
Urile pelagicus,Pelagic cormorant,Suliformes ,Yes,,1995,10,20,2,2,4,1,2,2,1,14,Robards et al. ,Marine Pollution Bulletin,727,North Pacific,USA,Alaska,1988,3,d,,s,,no_details,2,u,,,,,n
Phaethon lepturus,White-tailed tropicbird,Phaethontiformes,Yes,,2013,3,33,2,3,2,1,2,2,1,13,Hyrenbach et al.,Marine Ornithology,1073,North Pacific,USA,Hawaii,2009,1,d,,u,,no_details,0.99,u,,,0.3,,n
Ardenna gravis,Great shearwater,Procellariiformes,Yes,,2013,60,45,3,3,2,1,1,2,1,13,Haman et al.,Journal of Wildlife Disease,1205,North Pacific,USA,West Coast USA,1993,19,d,,c,,vis_insp,27,u,,,,,n
Sula dactylatra,Masked booby,Suliformes ,Yes,,2017,2,50,2,3,2,1,2,2,1,13,Rapp et al.,Marine Pollution Bulletin,1584,North Pacific,USA,Hawaii,2006,8,d,0.5,s,,sieve_size,1,u,,,,,n
Sula dactylatra,Masked booby,Suliformes ,Yes,,1990b,20,5,2,3,2,1,2,2,1,13,Sileo et al.,Conference Proceedings,623,North Pacific,USA,Hawaii,1986,2,sf,,o,,no_details,1,u,,,,,n
Melanitta perspicillata,Surf scoter,Anseriformes,Yes,,2013,2,0,2,1,2,1,2,2,2,12,Avery-Gomm et al.,Marine Pollution Bulletin,2,North Pacific,Canada,Vancouver,2001,11,d,1,s,0,sieve_size,0,p,0,0,0,0,n
Melanitta perspicillata,Surf scoter,Anseriformes,Yes,,1985,11,0,2,1,2,1,2,2,2,12,Day et al.,Conference Proceedings,627,North Pacific,USA,Alaska,1977,2,u,,s,,no_details,0,u,,,0,0,u
Anous minutus,Black noddy,Charadriiformes,Yes,,2017,9,0,2,2,2,1,2,2,1,12,Rapp et al.,Marine Pollution Bulletin,1584,North Pacific,USA,Hawaii,2006,8,d,0.5,s,,sieve_size,0,p,0,0,0,0,n
Anous minutus,Black noddy,Charadriiformes,Yes,,1990b,35,3,2,2,2,1,2,2,1,12,Sileo et al.,Conference Proceedings,623,North Pacific,USA,Hawaii,1986,2,sf,,o,,no_details,1.05,u,,,,,n
Gygis alba,Common white tern,Charadriiformes,Yes,,2017,11,0,2,1,2,1,2,2,1,11,Rapp et al.,Marine Pollution Bulletin,1584,North Pacific,USA,Hawaii,2006,8,d,0.5,s,,sieve_size,0,p,0,0,0,0,n
Gygis alba,Common white tern,Charadriiformes,Yes,,1990b,35,0,2,1,2,1,2,2,1,11,Sileo et al.,Conference Proceedings,623,North Pacific,USA,Hawaii,1986,2,sf,,o,,no_details,0,u,,,0,0,n
Onychoprion lunatus,Grey-backed tern,Charadriiformes,Yes,,2017,1,0,2,1,2,1,2,2,1,11,Rapp et al.,Marine Pollution Bulletin,1584,North Pacific,USA,Hawaii,2006,8,d,0.5,s,,sieve_size,0,p,0,0,0,0,n
Onychoprion lunatus,Grey-backed Tern,Charadriiformes,Yes,,1990b,35,0,2,1,2,1,2,2,1,11,Sileo et al.,Conference Proceedings,623,North Pacific,USA,Hawaii,1986,2,sf,,o,,no_details,0,u,,,0,0,n
Phalacrocorax urile,Great Pied Cormorant,Suliformes ,Yes,,1980,2,0,2,1,2,1,2,2,1,11,Day  ,Thesis Report,726,North Pacific,USA,Alaska,1969,9,d,,s,,vis_insp,0,p,0,0,0,0,n
Phalacrocorax urile,Great Pied Cormorant,Suliformes ,Yes,,1995,16,0,2,1,2,1,2,2,1,11,Robards et al. ,Marine Pollution Bulletin,727,North Pacific,USA,Alaska,1988,3,d,,s,,no_details,0,u,,,0,,n
Aythya marila,Greater scaup,Anseriformes,No,,2013,1,0,1,,,,,,,,Avery-Gomm et al.,Marine Pollution Bulletin,2,North Pacific,Canada,Vancouver,2001,11,d,1,s,0,sieve_size,0,p,0,0,0,0,n
Aythya marila,Greater scaup,Anseriformes,No,,1985,3,0,1,,,,,,,,Day et al.,Conference Proceedings,627,North Pacific,USA,Alaska,1977,2,u,,s,,no_details,0,u,,,0,0,u
Histrionicus histrionicus,Harlequin Duck,Anseriformes,No,,2013,1,0,1,,,,,,,,Avery-Gomm et al.,Marine Pollution Bulletin,2,North Pacific,Canada,Vancouver,2001,11,d,1,s,0,sieve_size,0,p,0,0,0,0,n
Histrionicus histrionicus,Harlequin Duck,Anseriformes,No,,1985,6,0,1,,,,,,,,Day et al.,Conference Proceedings,627,North Pacific,USA,Alaska,1977,2,u,,s,,no_details,0,u,,,0,0,u
Melanitta deglandi,White-winged scoter,Anseriformes,No,,1985,5,0,1,,,,,,,,Day et al.,Conference Proceedings,627,North Pacific,USA,Alaska,1977,2,u,,s,,no_details,0,u,,,0,0,u
Onychoprion aleuticus,Aleutian tern,Charadriiformes,No,,1980,8,0,1,,,,,,,,Day  ,Thesis Report,726,North Pacific,USA,Alaska,1969,9,d,,s,,vis_insp,0,p,0,0,0,0,n
Synthliboramphus antiquus,Ancient murrelet,Charadriiformes,No,Species at risk in Canada,2013,5,0,,,,,,,,,Avery-Gomm et al.,Marine Pollution Bulletin,2,North Pacific,Canada,Vancouver,2001,11,d,1,s,0,sieve_size,0,p,0,0,0,0,n
Synthliboramphus antiquus,Ancient murrelet,Charadriiformes,No,Species at risk in Canada,1980,16,0,,,,,,,,,Day  ,Thesis Report,726,North Pacific,USA,Alaska,1969,9,d,,s,,vis_insp,0,p,0,0,0,0,n
Synthliboramphus antiquus,Ancient murrelet,Charadriiformes,No,Species at risk in Canada,1995,68,0,,,,,,,,,Robards et al. ,Marine Pollution Bulletin,727,North Pacific,USA,Alaska,1988,3,d,,s,,no_details,0,u,,,0,,n
Stercorarius parasiticus,Arctic jaeger,Charadriiformes,No,,1980,1,0,1,,,,,,,,Day  ,Thesis Report,726,North Pacific,USA,Alaska,1969,9,d,,s,,vis_insp,0,p,0,0,0,0,n
Larus ridibundus,Black-headed Gull,Charadriiformes,No,,2013,1,100,1,,,,,,,,Hong et al.,Marine Pollution Bulletin,43,North Pacific,South Korea,all coasts,2010,3,d,,u,,no_details,1,u,,,,,n
Larus philadelphia,Bonaparte's Gull,Charadriiformes,No,,1980,4,0,1,,,,,,,,Day  ,Thesis Report,726,North Pacific,USA,Alaska,1969,9,d,,s,,vis_insp,0,p,0,0,0,0,n
Larus hyperboreus,Glaucous gull,Charadriiformes,No,,1980,33,3,1,,,,,,,,Day  ,Thesis Report,726,North Pacific,USA,Alaska,1969,9,d,,s,,vis_insp,0.99,p,0.03,,0.03,,n
Synthliboramphus hypoleucus,Guadalupe murrelet,Charadriiformes,No,,1997,5,0,1,,,,,,,,Blight and Burger,Marine Pollution Bulletin,309,North Pacific,,Eastern Pacific,1987,1,d,,s,0,no_details,0,p,0,0,0,0,n
Pagophila eburnea,Ivory gull,Charadriiformes,No,Species at risk in Canada,1980,1,0,,,,,,,,,Day  ,Thesis Report,726,North Pacific,USA,Alaska,1969,9,d,,s,,vis_insp,0,p,0,0,0,0,n
Brachyramphus brevirostris,Kittlitz's Murrelet,Charadriiformes,No,Species at risk in Canada,1980,5,0,,,,,,,,,Day  ,Thesis Report,726,North Pacific,USA,Alaska,1969,9,d,,s,,vis_insp,0,p,0,0,0,0,n
Brachyramphus brevirostris,Kittlitz's Murrelet,Charadriiformes,No,Species at risk in Canada,1995,17,0,,,,,,,,,Robards et al. ,Marine Pollution Bulletin,727,North Pacific,USA,Alaska,1988,3,d,,s,,no_details,0,u,,,0,,n
Brachyramphus marmoratus,Marbled Murrelet,Charadriiformes,No,Species at risk in Canada,2013,7,0,,,,,,,,,Avery-Gomm et al.,Marine Pollution Bulletin,2,North Pacific,Canada,Vancouver,2001,11,d,1,s,0,sieve_size,0,p,0,0,0,0,n
Brachyramphus marmoratus,Marbled Murrelet,Charadriiformes,No,Species at risk in Canada,1980,61,0,,,,,,,,,Day  ,Thesis Report,726,North Pacific,USA,Alaska,1969,9,d,,s,,vis_insp,0,p,0,0,0,0,n
Brachyramphus marmoratus,Marbled Murrelet,Charadriiformes,No,Species at risk in Canada,1995,96,0,,,,,,,,,Robards et al. ,Marine Pollution Bulletin,727,North Pacific,USA,Alaska,1988,3,d,,s,,no_details,0,u,,,0,,n
Stercorarius pomarinus,Pomarine jaeger,Charadriiformes,No,,1980,1,0,1,,,,,,,,Day  ,Thesis Report,726,North Pacific,USA,Alaska,1969,9,d,,s,,vis_insp,0,p,0,0,0,0,n
Phalaropus lobatus,Red-necked phalarope,Charadriiformes,No,,1980,3,66.7,1,,,,,,,,Day  ,Thesis Report,726,North Pacific,USA,Alaska,1969,9,d,,s,,vis_insp,2.001,p,1,0.01,1,0.01,n
Xema sabini,Sabine's gull,Charadriiformes,No,,1980,1,0,1,,,,,,,,Day  ,Thesis Report,726,North Pacific,USA,Alaska,1969,9,d,,s,,vis_insp,0,p,0,0,0,0,n
Larus occidentalis,Western gull,Charadriiformes,No,,1985,,,1,,,,,,,,Day et al.,Conference Proceedings,627,North Pacific,,,,,d,,s,,no_details,,u,,,,,u
Larus occidentalis,Western gull,Charadriiformes,No,,1985,,,1,,,,,,,,Day et al.,Conference Proceedings,627,North Pacific,,,,,u,,s,,no_details,,u,,,,,u
Larus michahellis,Yellow-legged gull,Charadriiformes,No,,1980,5,0,1,,,,,,,,Day  ,Thesis Report,726,North Pacific,USA,Alaska,1969,9,d,,s,,vis_insp,0,p,0,0,0,0,n
Gavia arctica,Arctic Loon,Gaviiformes,No,,2013,1,100,1,,,,,,,,Hong et al.,Marine Pollution Bulletin,43,North Pacific,South Korea,all coasts,2010,3,d,,u,,no_details,1,u,,,,,n
Gavia immer,Common Loon,Gaviiformes,No,,2013,2,0,1,,,,,,,,Avery-Gomm et al.,Marine Pollution Bulletin,2,North Pacific,Canada,Vancouver,2001,11,d,1,s,0,sieve_size,0,p,0,0,0,0,n
Gavia pacifica,Pacific loon,Gaviiformes,No,,2013,2,0,1,,,,,,,,Avery-Gomm et al.,Marine Pollution Bulletin,2,North Pacific,Canada,Vancouver,2001,11,d,1,s,0,sieve_size,0,p,0,0,0,0,n
Gavia pacifica,Pacific loon,Gaviiformes,No,,2013,1,100,1,,,,,,,,Hong et al.,Marine Pollution Bulletin,43,North Pacific,South Korea,all coasts,2010,3,d,,u,,no_details,1,u,,,,,n
Gavia stellata,Red-throated loon,Gaviiformes,No,,2013,2,0,1,,,,,,,,Avery-Gomm et al.,Marine Pollution Bulletin,2,North Pacific,Canada,Vancouver,2001,11,d,1,s,0,sieve_size,0,p,0,0,0,0,n
Podiceps grisegena,Red-necked grebe,Podicipediformes,No,,2013,1,0,1,,,,,,,,Avery-Gomm et al.,Marine Pollution Bulletin,2,North Pacific,Canada,Vancouver,2001,11,d,1,s,0,sieve_size,0,p,0,0,0,0,n
Aechmophorus occidentalis,Western Grebe,Podicipediformes,No,,2013,2,0,1,,,,,,,,Avery-Gomm et al.,Marine Pollution Bulletin,2,North Pacific,Canada,Vancouver,2001,11,d,1,s,0,sieve_size,0,p,0,0,0,0,n
Phoebastria immutabilis,Black-footed albatross,Procellariiformes,No,Species at risk in US,2019,5,100,,,,,,,,,Tanaka et al.,Marine Pollution Bulletin,1979,North Pacific,Japan,Mukojima Island,2015,1,r,,o,,no_details,,u,,,4,,n
Pterodroma phaeopygia,Galapagos petrel,Procellariiformes,No,,1997,,,1,,,,,,,,Robards et al. ,Book Chapter,711,North Pacific,USA,,,,d,,s,,no_details,,u,,,,,n
Ardenna creatopus,Pink-footed Shearwater,Procellariiformes,No,,1976,5,,1,,,,,,,,Baltz and Morejohn,Western Birds,737,North Pacific,USA,California,1974,2,d,,u,u,no_details,,u,,,2.4,,n
Ardenna creatopus,Pink-footed Shearwater,Procellariiformes,No,,2008,,,1,,,,,,,,Environment Canada,Report,715,North Pacific,Canada,all coasts,2008,1,u,,u,,no_details,,u,,,,,n
Phoebastria albatrus,Short-tailed albatross,Procellariiformes,No,,2018,6,66.7,1,,,,,,,,Donnelly-Greenan et al.,Marine Ornithology,1674,North Pacific,USA,US coast,1995,20,d,0.5,s,,sieve_size,4.002,a,4.75,0.2921,3.2,0.1947,n
Phoebastria albatrus,Short-tailed albatross,Procellariiformes,No,,2008,,,1,,,,,,,,Environment Canada,Report,715,North Pacific,Canada,all coasts,2008,1,u,,u,,no_details,,u,,,,,n
Pterodroma longirostris,Stejneger's petrel,Procellariiformes,No,,1997,1,100,1,,,,,,,,Blight and Burger,Marine Pollution Bulletin,309,North Pacific,,Eastern Pacific,1987,1,d,,s,0,no_details,1,p,3.3,,3.3,,n
Sula nebouxii,Blue-footed booby,Suliformes ,No,,1997,,,1,,,,,,,,Laist,Book Chapter,625,North Pacific,USA,Hawaii,,,,,,,no_details,,u,,,,,u
Sula leucogaster,Brown booby,Suliformes ,No,,2017,3,33.3,1,,,,,,,,Rapp et al.,Marine Pollution Bulletin,1584,North Pacific,USA,Hawaii,2006,8,d,0.5,s,,sieve_size,0.999,u,,,,,n
Nannopterum auritus,Double-crested Cormorant,Suliformes ,No,,2013,2,0,1,,,,,,,,Avery-Gomm et al.,Marine Pollution Bulletin,2,North Pacific,Canada,Vancouver,2001,11,d,1,s,0,sieve_size,0,p,0,0,0,0,n
Nannopterum auritus,Double-crested Cormorant,Suliformes ,No,,1980,4,0,1,,,,,,,,Day  ,Thesis Report,726,North Pacific,USA,Alaska,1969,9,d,,s,,vis_insp,0,p,0,0,0,0,n
Urile urile,Red-faced cormorant,Suliformes ,No,,2020,10,30,1,,,,,,,,Padula et al.,Marine Pollution Bulletin,2320,North Pacific,USA,Aleutian Islands,2009,7,d,,s,0,vis_insp,3,u,,,,,u
