Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Commercial status,IUCN status,Oceanographic province,Method type,Year of collection,Publication year,Reference,Polymer identification,Blanks used,Clean lab procedures,Size detection threshold (mm),Degree of prior sampling,Plastic FO in PICES region,Residency,Distribution in PICES region,Distribution globally,Already an indicator?,Threat of human exposure,Total bioindicator score,Notes
Katsuwonus pelamis,Skipjack tuna,Perciformes,Scombridae,4.4,4,10,0.4,1.8,pelagic-oceanic,highly commerical,LC,NPTG,3,,2020,Hyrenbach et al. 2020,FTIR,not described,not described,0.25,2,2,4,4,4,2,3,21,
Symbolophorus californiensis,Bigfin lanternfish,Myctophiformes,Myctophidae,3.4,27,78,0.346153846,7.2,mesopelagic,,Not assessed,NPPF,2,2008,2010,Boerger et al. 2010,none,not described,not described,NA,3,3,4,4,3,2,1,20,
Lutjanus stellatus,Snapper,Perciformes,Lutjanidae,4,15,26,0.576923077,1.153846154,reef-associated,,Not assessed,CHIN,3,2016-2017,2019,Chan et al. 2019,FTIR,lab blank,yes,0.02,2,4,4,1,3,2,4,20,
Ammodytes personatus,Pacific sand lance,Perciformes,Ammodytidae,3.1,11,734,0.014986376,0.07493188,demersal,,Not assessed,CCAL,2,2009-2016,2018,Hipfner et al. 2018,FTIR,open-air lab control,yes,0.063,4,2,4,1,3,2,4,20,
Larimichthys crocea,Large yellow croaker,Perciformes,Sciaenidae,3.7,18,18,1,4.6,benthopelagic,,Not assessed,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,3,4,4,1,3,2,3,20,
Scomber japonicus,Chub mackerel,Perciformes,Scombridae,3.4,0,1,0,0,pelagic-neritic,,LC,CCAL,3,2014,2015,Rochman et al. 2015,none,lab blank,yes,0.5,2,4,4,2,3,2,3,20,
Scomber japonicus,Chub mackerel,Perciformes,Scombridae,3.4,5,9,0.555555556,0.8,pelagic-neritic,,LC,CHIN,3,2017,2019,Su et al. 2019,FTIR,lab blank,yes,0.02,2,4,4,2,3,2,3,20,
Chelidonichthys kumu,Bluefin gurnard,Scorpaeniformes,Triglidae,3.7,3,3,1,7.3,demersal,,LC,CHIN,3,18-Jan,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,4,3,4,1,3,2,3,20,
Larimichthys crocea,Large yellow croaker,Perciformes,Sciaenidae,3.7,NA,30,NA,0.7,benthopelagic,,Not assessed,CHIN,3,September of 2017,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,3,4,4,1,3,2,3,20,
Larimichthys crocea,Large yellow croaker,Perciformes,Sciaenidae,3.7,3,3,1,5,benthopelagic,,Not assessed,CHIN,3,18-Jan,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,3,4,4,1,3,2,3,20,
Ammodytes personatus,Pacific sand lance,Perciformes,Ammodytidae,3.1,20,50,0.4,0.54,demersal,,Not assessed,CHIN,3,Summer 2016,2019,Zhao et al. 2019,FTIR,lab blank,yes,0.00045,4,2,4,1,3,2,4,20,
Chelidonichthys kumu,Bluefin gurnard,Scorpaeniformes,Triglidae,3.7,64,177,0.36,0.45,demersal,,LC,CHIN,3,Summer 2016,2019,Zhao et al. 2019,FTIR,lab blank,yes,0.00045,4,3,4,1,3,2,3,20,
Larimichthys crocea,Large yellow croaker,Perciformes,Sciaenidae,3.7,8,10,0.8,1.8,benthopelagic,,Not assessed,CHIN,3,,2020,Wu et al. 2020,FTIR,lab blank,yes,0.0007,3,4,4,1,3,2,3,20,
Larimichthys crocea,Large yellow croaker,Perciformes,Sciaenidae,3.7,3,3,1,5.3,benthopelagic,highly commerical,Not assessed,CHIN,3,,2020,Zhang et al. 2020b,FTIR,lab blank,yes,0.0045,3,4,4,1,3,2,3,20,
Chelidonichthys kumu,Bluefin gurnard,Scorpaeniformes,Triglidae,3.7,3,3,1,7.3,demersal,commercial,LC,CHIN,3,,2020,Zhang et al. 2020b,FTIR,lab blank,yes,0.0045,4,3,4,1,3,2,3,20,
Loweina interrupta,NA,Myctophiformes,Myctophidae,3.2,10,28,0.357142857,1,bathypelagic,,LC,NPPF,2,2008,2010,Boerger et al. 2010,none,not described,not described,NA,2,3,4,1,4,4,1,19,
Myctophum aurolaternatum,Golden lanternfish,Myctophiformes,Myctophidae,4.5,161,460,0.35,6,bathypelagic,,Not assessed,NPPF,2,2008,2010,Boerger et al. 2010,none,not described,not described,NA,4,3,4,1,4,2,1,19,
Solea ovata,Sole,Pleuronectiformes,Soleidae,3.5,26,44,0.590909091,1.181818182,demersal,,Not assessed,CHIN,3,2015,2019,Chan et al. 2019,FTIR,lab blank,yes,0.02,2,4,4,1,3,2,3,19,
Diaphus anderseni,Andersen's Lantern Fish,Myctophiformes,Myctophidae,3.1,2,13,0.153846154,0.1538,mesopelagic,,LC,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,2,2,4,2,4,4,1,19,
Cynoglossus abbreviatus,Three-lined tounge sole,Pleuronectiformes,Cynoglossidae,3.5,18,18,1,6.9,demersal,,Not assessed,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,2,4,4,1,3,2,3,19,
Harpadon nehereus,Bombay duck,Aulopiformes,Synodontidae,4.2,18,18,1,3.8,benthopelagic,,Not assessed,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,3,3,4,1,3,2,3,19,Are these eaten whole? Should check
